CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
CB1E00100B,1,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788826136417,DONDI S,CHE BELLO È! UN PONTE TRA I POPOLI 1-2-3,ND,U,PICCOLI,"7,87",No,Si,No
CB1E00100B,1,A,EE,CORSO A ORARIO ORDINARIO,IL LIBRO DELLA PRIMA CLASSE,9788842618164,LAVURI - GASTALDI,FANTAVIAGGIO 1,ND,1,IL CAPITELLO,"12,81",Si,Si,No
CB1E00100B,1,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788847306875,AA VV,BUDDY AND FRIENDS 1,ND,1,CETEM,"3,87",No,Si,No
CB1E00100B,2,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788826136417,DONDI S,CHE BELLO È! UN PONTE TRA I POPOLI 1-2-3,ND,U,PICCOLI,"7,87",No,No,No
CB1E00100B,2,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO (1° BIENNIO),9788826136479,GRANDINETTI V - PEPE L - MATTIASSICH M,CHE BELLO È! IMPARARE 2,ND,2,PICCOLI,"17,95",No,Si,No
CB1E00100B,2,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788847306882,AA VV,BUDDY AND FRIENDS 2,ND,2,CETEM,"5,79",No,Si,No
CB1E00100B,3,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788825909609,MARCHETTI ELISABETTA,NEL GIARDINO DELLA GIOIA VOLUMI CLASSE 1 2 3,ND,U,THEOREMA,"7,87",No,No,No
CB1E00100B,3,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO (1° BIENNIO),9788847237391,SECCHI NICOLETTA - MORGESE ROBERTO - BARTLACCI MARIA LUISA,SPAZIO DELLE IDEE (LO) 3,ND,3,RAFFAELLO,"25,65",No,Si,No
CB1E00100B,3,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788861617117,F  FOSTER - B  BROWN,BILLY BOT - STORIES FOR SUPER CITIZENS 3,ND,3,LANG EDIZIONI,"7,74",No,Si,No
CB1E00100B,4,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788842632528,AA VV,COME FARFALLE DAI MILLE COLORI 4-5,ND,U,IL CAPITELLO,"7,87",No,Si,No
CB1E00100B,4,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788847306431,CARDELLI LYNCH - PASTORMERLO CHIARA - WALCOTT EDWARD,HELLO GINGER! 4,ND,1,CETEM,"7,74",Si,Si,No
CB1E00100B,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DEI LINGUAGGI,9788842618232,AA VV,SFOGLIASTORIE LINGUAGGI 4,ND,1,IL CAPITELLO,"16,59",Si,Si,No
CB1E00100B,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788826136998,BALACLAVA ENRICA - GALATI RODOLFO,TERRA SIAMO NOI! (LA ) 4 STO / GEO,ND,1,PICCOLI,"10,30",Si,Si,No
CB1E00100B,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788826136981,BALACLAVA ENRICA - GALATI RODOLFO,TERRA SIAMO NOI! (LA ) 4 MATE / SCI,ND,1,PICCOLI,"10,31",Si,Si,No
CB1E00100B,5,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788847306448,CARDELLI LYNCH - PASTORMERLO CHIARA - WALCOTT EDWARD,HELLO GINGER! 5,ND,2,CETEM,"9,68",Si,Si,No
CB1E00100B,5,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DEI LINGUAGGI,9788846841858,COSTA ELENA - DONISELLI LILLI - TAINO ALBA,NUOVI TRAGUARDI LETTURE 5,ND,2,LA SPIGA,"20,13",No,Si,No
CB1E00100B,5,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788846841902,COSTA ELENA - DONISELLI LILLI - TAINO ALBA,NUOVI TRAGUARDI DISCIPLINE STORIA-GEOGRAFIA 5,ND,2,LA SPIGA,"12,00",No,Si,No
CB1E00100B,5,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788846841919,COSTA ELENA - DONISELLI LILLI - TAINO ALBA,NUOVI TRAGUARDI DISCIPLINE MATEMATICA-SCIENZE 5,ND,2,LA SPIGA,"12,01",No,Si,No
CB1E002007,1,A,EE,27 ORE SETTIMANALI,RELIGIONE,9788825909739,MARCHETTI ELISABETTA,I COLORI DELLA GIOIA,"CLASSE PRIMA, SECONDA, TERZA",U,THEOREMA,"7,87",Si,Si,No
CB1E002007,1,A,EE,27 ORE SETTIMANALI,IL LIBRO DELLA PRIMA CLASSE,9788847239173,ALTAMORE CAROLINA - FOCANTE MAILA - BERNABE' TIZIANA,AMICO FARO 1 PACK,ND,1,RAFFAELLO,"12,81",Si,Si,No
CB1E002007,1,A,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9780194464468,AA VV,LEARN WITH US 1,CB&WB CON QR CODE & EBK + CD 1,1,OXFORD UNIVERSITY PRESS,"3,87",No,Si,No
CB1E002007,2,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9791220404013,FORTUNATO FRANCESCA - GIROTTI GERMANA,CIURMA (LA),VOLUME 2,2,A. MONDADORI SCUOLA,"17,95",No,Si,No
CB1E002007,2,A,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9780194464680,AA VV,LEARN WITH US 2,CB&WB CON QR CODE & EBK + CD 2,2,OXFORD UNIVERSITY PRESS,"5,79",No,Si,No
CB1E002007,3,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788852605499,AA VV,ALLA SCOPERTA DEL MONDO 3 - LEGGERE È INCONTRARE,SUSSIDIARIO PER LA TERZA CLASSE,3,ITACALIBRI,"25,65",Si,Si,No
CB1E002007,3,A,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9780194464802,AA VV,LEARN WITH US 3,CB&WB CON QR CODE & EBK + CD 3,3,OXFORD UNIVERSITY PRESS,"7,74",No,Si,No
CB1E002007,4,A,EE,27 ORE SETTIMANALI,RELIGIONE,9788825909746,MARCHETTI ELISABETTA,I COLORI DELLA GIOIA,"CLASSE QUARTA, QUINTA",U,THEOREMA,"7,87",Si,Si,No
CB1E002007,4,A,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9780194464925,AA VV,LEARN WITH US 4,CB&WB CON QR CODE & EBK + CD 4,1,OXFORD UNIVERSITY PRESS,"7,74",No,Si,No
CB1E002007,4,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO DEI LINGUAGGI,9788829858514,FORTUNATO FRANCESCA,LIBRO CHE VORREI (IL),CLASSE 4A,1,MINERVA ITALICA,"16,59",Si,Si,No
CB1E002007,4,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9791220409544,AA  VV,MONDO CHE VORREI (IL),CLASSE 4A ANTROPOLOGICO,1,A. MONDADORI SCUOLA,"10,30",Si,Si,No
CB1E002007,4,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9791220409582,AA  VV,MONDO CHE VORREI (IL),CLASSE 4A SCIENTIFICO,1,A. MONDADORI SCUOLA,"10,31",Si,Si,No
CB1E002007,5,A,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9780194465083,AA VV,LEARN WITH US 5,CB&WB CON QR CODE & EBK + CD 5,2,OXFORD UNIVERSITY PRESS,"9,68",No,Si,No
CB1E002007,5,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO DEI LINGUAGGI,9788852605482,AA VV,"ALLA SCOPERTA DEL MONDO 5 - LA LETTURA, CHE AVVENTURA!",SUSSIDIARIO DEI LINGUAGGI PER LA QUINTA CLASSE,2,ITACALIBRI,"20,13",Si,Si,No
CB1E002007,5,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE,9788852606236,AA VV,ALLA SCOPERTA DEL MONDO 5,SUSSIDIARIO DELLE DISCIPLINE PER LA QUINTA CLASSE,2,ITACALIBRI,"24,01",Si,Si,No
CBEE80901Q,1,A,EE,30 ORE SETTIMANALI,RELIGIONE,9788809930087,DE ROSSI FRANCESCO,UN CIELO A COLORI CL. 1-2-3,ND,U,GIUNTI SCUOLA,"7,87",Si,Si,No
CBEE80901Q,1,A,EE,30 ORE SETTIMANALI,IL LIBRO DELLA PRIMA CLASSE,9788846843715,AA VV,FESTA A SORPRESA 1 - METODO 4 CARATTERI,ND,1,LA SPIGA,"12,81",Si,Si,No
CBEE80901Q,1,A,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788809964686,AA VV,I LIKE GOLD CL. 1,ND,1,GIUNTI ELT,"3,87",No,Si,No
CBEE80901Q,1,B,EE,30 ORE SETTIMANALI,RELIGIONE,9788809930087,DE ROSSI FRANCESCO,UN CIELO A COLORI CL. 1-2-3,ND,U,GIUNTI SCUOLA,"7,87",Si,Si,No
CBEE80901Q,1,B,EE,30 ORE SETTIMANALI,IL LIBRO DELLA PRIMA CLASSE,9788846843715,AA VV,FESTA A SORPRESA 1 - METODO 4 CARATTERI,ND,1,LA SPIGA,"12,81",Si,Si,No
CBEE80901Q,1,B,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788809964686,AA VV,I LIKE GOLD CL. 1,ND,1,GIUNTI ELT,"3,87",No,Si,No
CBEE80901Q,2,A,EE,30 ORE SETTIMANALI,RELIGIONE,9788842632511,AA VV,COME FARFALLE DAI MILLE COLORI 1-2-3,ND,U,IL CAPITELLO,"7,87",No,No,No
CBEE80901Q,2,A,EE,30 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788846842572,TAINO ALBA - DONISELLI LILLI,GRILLO E LA LUNA 2 (IL),ND,2,LA SPIGA,"17,95",No,Si,No
CBEE80901Q,2,A,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788809964693,AA VV,I LIKE GOLD CL. 2,ND,2,GIUNTI ELT,"5,79",No,Si,No
